# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.300000000000000044e+00 1.072873500576922794e+02 5.839895198426867218e+00 2.972291954054486851e+01 2.465747013736380833e+00
1.399999999999999911e+00 1.002275657692308215e+02 9.785372752759153414e+00 1.918808626979167187e+01 1.712746732008191275e+00
1.500000000000000000e+00 7.407728395192307858e+01 3.670930532372075117e+00 1.031375630432691715e+01 1.280780391934499329e+00
1.600000000000000089e+00 4.939021268269225118e+01 8.671977449595928533e+00 4.143590907612173524e+00 8.311502071402506742e-01
1.699999999999999956e+00 2.508827361538464373e+01 3.987498989979187058e+00 4.228760277243593380e-01 3.799304651644889175e-01
1.800000000000000044e+00 -1.758662997115386872e+01 7.151041573376964777e+00 1.679861146634622215e-01 2.827256788015539701e-01
1.899999999999999911e+00 -4.583846125961534312e+01 3.681535318752850117e+00 3.459432945352559852e+00 6.756176045199133728e-01
2.000000000000000000e+00 -4.191317495192307518e+01 6.090539519960996628e+00 7.840207277083330872e+00 7.631916091699998406e-01
2.100000000000000089e+00 -3.880478610576927423e+01 7.582693210485330404e+00 1.186929785112179658e+01 1.242833271538464901e+00
2.200000000000000178e+00 -5.452588615384703630e+00 7.399985113802523884e+00 1.388326562844552647e+01 1.324619071249594437e+00
2.299999999999999822e+00 4.031493826923165713e+00 1.327176772265699611e+01 1.375541940913463357e+01 1.672084450740207284e+00
2.399999999999999911e+00 -3.496941404807688514e+01 4.440825539166942448e+00 1.590152956963142472e+01 2.008972970245918255e+00
2.500000000000000000e+00 -2.064623990384615304e+00 5.854080216237659506e+00 1.835244562099360621e+01 1.949525385207099060e+00
2.600000000000000089e+00 -4.866788442307736773e+00 5.697986675356793818e+00 1.861816059679489044e+01 1.703320442793524014e+00
2.700000000000000178e+00 -1.737163039423085920e+01 6.401235649937397021e+00 1.964922589278848264e+01 1.521626564801054293e+00
2.799999999999999822e+00 -1.332352718269221548e+01 7.551753983700044692e+00 2.117275182938035627e+01 1.659593537792083406e+00
3.299999999999999822e+00 -1.330050718269222010e+01 9.903342876431516117e+00 2.642476763894221392e+01 5.930072989202812117e+00
3.799999999999999822e+00 -2.003867915384606491e+01 5.348129387867488482e+00 3.576961063653831729e+01 7.463830749684556842e+00
4.299999999999999822e+00 -2.535737201922988682e+00 5.635279029087246094e+00 4.242326113894212369e+01 7.331753981235455520e+00
4.799999999999999822e+00 -7.126245490384525816e+00 4.281077009947168222e+00 4.530556507924656273e+01 7.015257834932741687e+00
5.299999999999999822e+00 -5.133553653845266407e-01 2.566112848224880949e+00 4.768227356041638387e+01 7.270545313380526231e+00
5.799999999999999822e+00 4.923347884616265380e-01 8.575982531207178017e-01 4.719600347387788020e+01 6.863448323610378488e+00
6.299999999999999822e+00 -1.029858059615375687e+01 3.139871639403994941e+00 4.915603969503169424e+01 7.063979827766551089e+00
6.799999999999999822e+00 5.211582596154740177e-01 8.253151249472883144e-01 5.250083920584896191e+01 7.596565934473581194e+00
