# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.300000000000000044e+00 1.197074377499999969e+02 3.937049305894714912e+00 2.445694853365384702e+01 1.667485608488477267e+00
1.399999999999999911e+00 8.409460286538464402e+01 5.225514407052628485e+00 1.451151376274039428e+01 1.392213858634919088e+00
1.500000000000000000e+00 7.784183916346152898e+01 8.879932408763506757e+00 6.659358921153846644e+00 9.782928487775610638e-01
1.600000000000000089e+00 2.857007939423072784e+01 5.529847526491399989e+00 1.536201555368587046e+00 6.344903904223561097e-01
1.699999999999999956e+00 2.990947076923099246e+00 6.233230035054330820e+00 1.555887939102563455e-01 2.077288364007320587e-01
1.800000000000000044e+00 -7.000993288461561548e+00 5.901676553595398111e+00 2.998045139423085592e-01 3.360134656065797421e-01
1.899999999999999911e+00 -2.374732451923072318e+01 6.088689943631797163e+00 1.780933813782049402e+00 6.287171256396227870e-01
2.000000000000000000e+00 -2.303339540384615702e+01 9.231471528207791266e+00 3.998179698958331141e+00 1.003723972417027266e+00
2.100000000000000089e+00 -3.693427960576927660e+01 8.205105248377249083e+00 6.874773338461538152e+00 1.314924281632909864e+00
2.200000000000000178e+00 -2.692871673077012584e+00 5.397326436418319773e+00 8.490980555368599525e+00 1.381925865467136694e+00
2.299999999999999822e+00 -1.226950538461529483e+01 3.743873573148067901e+00 8.873949061217960121e+00 1.573553411549049930e+00
2.399999999999999911e+00 -1.301784801923072266e+01 4.519735004238305542e+00 1.021652619911859716e+01 1.636069814488203988e+00
2.500000000000000000e+00 -4.381054528846153318e+00 5.584032393048195431e+00 1.116468079423077597e+01 1.698605811768670426e+00
2.600000000000000089e+00 -2.138200865384620286e+01 6.912919516685428256e+00 1.266698113838141992e+01 1.669350082414170044e+00
2.700000000000000178e+00 -1.268530057692316859e+01 4.190650313060946708e+00 1.458449378493591198e+01 1.948755814207534298e+00
2.799999999999999822e+00 -2.918029012499991026e+01 7.138595730973972486e+00 1.673598882806624744e+01 2.241910953402144191e+00
3.299999999999999822e+00 -6.867323403846065766e+00 1.149054942054757689e+01 3.302483071455121433e+01 5.332025628084491764e+00
3.799999999999999822e+00 -4.873789384615296427e+00 4.282136955208620144e+00 3.605777270854154892e+01 6.101162097116799465e+00
4.299999999999999822e+00 -5.363242403845263073e-01 2.304290621001736650e+00 3.750796491166650526e+01 5.999745477543472205e+00
4.799999999999999822e+00 2.368029528846242737e+00 1.821040414183502376e+00 3.674311425902222794e+01 5.776039422418025815e+00
5.299999999999999822e+00 -2.093800634615295753e+00 2.107955216065716009e+00 3.636763270493565159e+01 5.955192492017607364e+00
5.799999999999999822e+00 1.123776153847032139e-01 5.520973656777693472e-01 3.676014427224329495e+01 6.032882640163609089e+00
6.299999999999999822e+00 -1.497046346152959562e-01 6.597598311769398149e-01 3.666663183955094496e+01 5.917557179113151378e+00
6.799999999999999822e+00 -1.449364423076032193e-01 5.391685355129597346e-01 3.675141087721115696e+01 5.975440853512888673e+00
